NAME	UNIPROT	ACTIVES	INACTIVES	RATIO		
Endothelial PAS domain-containing protein 1	Q99814	11	419171	38106		
Smoothened homolog	Q99835	262	1	0		
Chymotrypsin-C	Q99895	32	16	1		
Tubulin alpha-1C chain	Q9BQE3	25	19	1		
Sentrin-specific protease 7	Q9BQF6	24	323426	13476		
Eukaryotic translation initiation factor 2-alpha kinase 1	Q9BQI3	26	289471	11134		
Serine/threonine-protein kinase RIO1	Q9BRS2	41	0	0		
MAP kinase-interacting serine/threonine-protein kinase 1	Q9BUB5	20	228134	11407		
Tubulin beta-6 chain	Q9BUF5	25	5	0		
Tubulin beta-2B chain	Q9BVA1	25	5	0		
Serine/threonine-protein kinase RIO2	Q9BVS4	35	0	0		
Cyclin-dependent kinase 19	Q9BWU1	18	0	0		
Succinate receptor 1	Q9BXA5	41	10	0		
Testis-specific serine/threonine-protein kinase 1	Q9BXA7	53	23	0		
Histone deacetylase 8	Q9BY41	468	64815	138		
Angiotensin-converting enzyme 2	Q9BYF1	51	2	0		
Serine/threonine-protein kinase 33	Q9BYT3	30	331884	11063		
Tryptase delta	Q9BZJ3	24	0	0		
Serine/threonine-protein kinase D2	Q9BZL6	131	35	0		
Neuropeptide FF receptor 1	Q9GZQ6	25	8	0		
Sentrin-specific protease 6	Q9GZR1	27	373429	13831		
Egl nine homolog 1	Q9GZT9	141	373608	2650		
NUAK family SNF1-like kinase 2	Q9H093	12	4	0		
Serine/threonine-protein kinase SIK2	Q9H0K1	24	0	0		
Sphingosine 1-phosphate receptor 5	Q9H228	179	228861	1279		
P2Y purinoceptor 12	Q9H244	690	4	0		
STE20-like serine/threonine-protein kinase	Q9H2G2	163	322384	1978		
Tankyrase-2	Q9H2K2	108	16	0		
Serine/threonine-protein kinase TAO3	Q9H2K8	13	0	0		
Homeodomain-interacting protein kinase 2	Q9H2X6	219	422621	1930		
Histamine H4 receptor	Q9H3N8	607	230442	380		
Tyrosine-protein kinase Srms	Q9H3Y6	47	0	0		
Homeodomain-interacting protein kinase 3	Q9H422	13	376987	28999		
Serine/threonine-protein kinase PLK3	Q9H4B4	154	370892	2408		
Tubulin beta-1 chain	Q9H4B7	43	20	0		
Elongation of very long chain fatty acids protein 6	Q9H5J4	74	0	0		
Egl nine homolog 3	Q9H6Z9	56	373610	6672		
Prostaglandin E synthase 2	Q9H7Z7	19	3	0		
Dual specificity protein kinase CLK4	Q9HAZ1	588	1040	2		
Transient receptor potential cation channel subfamily V member 4	Q9HBA0	12	914	76		
"Peptide deformylase, mitochondrial"	Q9HBH1	26	0	0		
MAP kinase-interacting serine/threonine-protein kinase 2	Q9HBH9	164	209191	1276		
Lysophosphatidic acid receptor 2	Q9HBW0	46	16	0		
Serine/threonine-protein kinase Sgk2	Q9HBY8	95	61	1		
DNA dC->dU-editing enzyme APOBEC-3G	Q9HC16	15	397402	26493		
Nucleotide-binding oligomerization domain-containing protein 2	Q9HC29	22	362162	16462		
G-protein coupled receptor 35	Q9HC97	89	288900	3246		
Non-lysosomal glucosylceramidase	Q9HCG7	12	0	0		
Casein kinase I isoform gamma-1	Q9HCP0	90	18	0		
"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A"	Q9HCR9	38	0	0		
Leukotriene B4 receptor 2	Q9NPC1	67	0	0		
NADPH oxidase 4	Q9NPH5	75	209190	2789		
Dual specificity tyrosine-phosphorylation-regulated kinase 4	Q9NR20	33	0	0		
Sphingosine kinase 2	Q9NRA0	20	32	2		
Tryptase gamma	Q9NRR2	26	0	0		
BMP-2-inducible protein kinase	Q9NSY1	11	13	1		
"NAD-dependent protein deacetylase sirtuin-3, mitochondrial"	Q9NTG7	24	20	1		
Interleukin-1 receptor-associated kinase 4	Q9NWZ3	173	0	0		
Voltage-dependent calcium channel subunit alpha-2/delta-2	Q9NY47	18	0	0		
Low affinity sodium-glucose cotransporter	Q9NY91	25	0	0		
Sphingosine kinase 1	Q9NYA1	74	63952	864		
Toll-like receptor 7	Q9NYK1	112	51	0		
Mitogen-activated protein kinase kinase kinase MLT	Q9NYL2	53	14	0		
Serine/threonine-protein kinase PLK2	Q9NYY3	53	14	0		
Gamma-secretase subunit PEN-2	Q9NZ42	183	2	0		
Eukaryotic translation initiation factor 2-alpha kinase 3	Q9NZJ5	55	418430	7608		
Group IIE secretory phospholipase A2	Q9NZK7	12	0	0		
Voltage-dependent T-type calcium channel subunit alpha-1I	Q9P0X4	23	2	0		
Serine/threonine-protein kinase pim-2	Q9P1W9	391	30	0		
DNA (cytosine-5)-methyltransferase 3B	Q9UBC3	10	420756	42076		
SUMO-activating enzyme subunit 1	Q9UBE0	17	287372	16904		
Serine/threonine-protein kinase NLK	Q9UBE8	26	201567	7753		
Phosphatidylinositol 4-kinase beta	Q9UBF8	29	156867	5409		
P2X purinoceptor 2	Q9UBL9	37	18	0		
Histone deacetylase 6	Q9UBN7	770	217797	283		
Gamma-aminobutyric acid type B receptor subunit 1	Q9UBS5	18	213667	11870		
SUMO-activating enzyme subunit 2	Q9UBT2	17	287372	16904		
Appetite-regulating hormone	Q9UBU3	38	33	1		
Protein DBF4 homolog A	Q9UBU7	22	280341	12743		
Cathepsin F	Q9UBX1	22	9	0		
Lysophosphatidic acid receptor 3	Q9UBY5	51	6	0		
Serine/threonine-protein kinase 17A	Q9UEE5	195	13	0		
Ephrin type-A receptor 6	Q9UF33	10	11	1		
Small conductance calcium-activated potassium channel protein 3	Q9UGI6	13	0	0		
Poly [ADP-ribose] polymerase 2	Q9UGN5	35	93	3		
Acid-sensing ion channel 3	Q9UHC3	12	332230	27686		
Serine/threonine-protein kinase TBK1	Q9UHD2	127	319717	2517		
Dipeptidyl peptidase 2	Q9UHL4	181	1	0		
Leucyl-cystinyl aminopeptidase	Q9UIQ6	20	17	1		
Ribosomal protein S6 kinase alpha-6	Q9UK32	10	141889	14189		
TRAF2 and NCK-interacting protein kinase	Q9UKE5	29	11	0		
Urotensin-2 receptor	Q9UKP6	156	10	0		
Histone deacetylase 9	Q9UKV0	253	361115	1427		
Carbonic anhydrase 14	Q9ULX7	254	0	0		
ALK tyrosine kinase receptor	Q9UM73	435	362511	833		
A disintegrin and metalloproteinase with thrombospondin motifs 5	Q9UNA0	179	64735	362		
Chymotrypsin-like elastase family member 1	Q9UNI1	13	1	0		
ATP-binding cassette sub-family G member 2	Q9UNQ0	69	192799	2794		
Aurora kinase C	Q9UQB9	48	15	0		
Histone deacetylase 5	Q9UQL6	265	321991	1215		
Calcium/calmodulin-dependent protein kinase type II subunit alpha	Q9UQM7	31	386818	12478		
Short transient receptor potential channel 6	Q9Y210	15	90	6		
"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A"	Q9Y233	623	322363	517		
Nucleotide-binding oligomerization domain-containing protein 1	Q9Y239	60	370544	6176		
RAC-gamma serine/threonine-protein kinase	Q9Y243	162	72	0		
Heparanase	Q9Y251	72	3	0		
Cysteinyl leukotriene receptor 1	Q9Y271	100	4	0		
"Carbonic anhydrase 5B, mitochondrial"	Q9Y2D0	63	0	0		
Nischarin	Q9Y2I1	29	0	0		
Tyrosine-protein phosphatase non-receptor type 22	Q9Y2R2	39	291630	7478		
G-protein coupled receptor 55	Q9Y2T6	88	289427	3289		
Mitogen-activated protein kinase kinase kinase 2	Q9Y2U5	12	333904	27825		
Sodium- and chloride-dependent glycine transporter 2	Q9Y345	36	6	0		
N-acetylated-alpha-linked acidic dipeptidase 2	Q9Y3Q0	14	0	0		
Dual specificity tyrosine-phosphorylation-regulated kinase 1B	Q9Y463	174	175733	1010		
Sn1-specific diacylglycerol lipase alpha	Q9Y4D2	16	7	0		
Mitogen-activated protein kinase kinase kinase kinase 5	Q9Y4K4	237	352747	1488		
Histamine H3 receptor	Q9Y5N1	2409	23	0		
NADPH oxidase 1	Q9Y5S8	57	16097	282		
Photoreceptor-specific nuclear receptor	Q9Y5X4	23	359596	15635		
Neuropeptide FF receptor 2	Q9Y5X5	25	2	0		
Endothelial lipase	Q9Y5X9	11	0	0		
Prostaglandin D2 receptor 2	Q9Y5Y4	1039	2	0		
Suppressor of tumorigenicity 14 protein	Q9Y5Y6	106	901	9		
Sodium channel protein type 10 subunit alpha	Q9Y5Y9	69	90637	1314		
Beta-secretase 2	Q9Y5Z0	260	192894	742		
Nuclear receptor corepressor 2	Q9Y618	50	486556	9731		
NF-kappa-B essential modulator	Q9Y6K9	13	441285	33945		
Casein kinase I isoform gamma-3	Q9Y6M4	63	0	0		
Nuclear receptor coactivator 3	Q9Y6Q9	10	471857	47186		
